1, 2007-10-6, raymond james, W, 3403, 9346
137, 2004-11-29, fedexfield, L, 3610, 5068
138, 2010-10-16, m&t bank, W, 4348, 3843
139, 2017-8-3, ralph wilson, W, 3907, 4206
140, 2007-10-22, lucas oil, T, 109, 4995
141, 2017-3-16, ford, L, 4523, 8500
142, 2001-1-5, lambeau, T, 2396, 3641
143, 2003-5-10, cleveland browns, T, 3810, 2675
144, 2008-10-19, dallas cowboys, T, 1266, 6994
145, 2004-7-15, ford, L, 1920, 9566
146, 2003-9-7, lambeau, T, 2451, 4716
147, 2014-1-12, lp, L, 2796, 3065
148, 2008-3-18, qualcomm, L, 1345, 5870
149, 2013-1-9, georgia dome, W, 4713, 7426
150, 2007-9-17, invesco, W, 3328, 5854
151, 2014-4-29, paul brown, T, 2203, 2134
152, 2002-8-15, fedexfield, T, 4765, 8950
153, 2007-1-30, heinz, W, 1413, 1858
154, 2012-3-4, lucas oil, T, 4474, 6561
155, 2016-7-29, soldier field ii, T, 2112, 143
156, 2008-5-15, m&t bank, T, 2523, 9987
157, 2005-4-25, arrowhead, W, 1305, 2618
158, 2018-12-21, giants, W, 4607, 9823
159, 2006-8-16, giants, W, 4686, 9558
160, 2002-3-17, heinz, T, 924, 3571
161, 2014-1-28, gillette, W, 2293, 4538
162, 2006-9-25, ralph wilson, L, 1514, 2433
163, 2018-5-4, everbank, T, 1739, 4943
164, 2000-9-16, giants, L, 3372, 2231
165, 2010-6-29, georgia dome, L, 4101, 8746
166, 2014-10-2, everbank, T, 4832, 6855
167, 2008-12-14, ford, T, 2581, 544
168, 2011-9-30, qualcomm, L, 4808, 8534
169, 2005-8-26, dallas cowboys, T, 4972, 1000
170, 2017-12-30, ford, T, 556, 6165
171, 2004-11-2, oakland-alameda, L, 554, 1452
172, 2002-5-16, m&t bank, L, 4638, 6316
173, 2007-4-27, everbank, L, 4588, 6289
174, 2005-7-17, qualcomm, T, 4940, 4307
175, 2000-11-29, invesco, W, 4284, 7094
176, 2018-1-5, reliant, T, 1610, 9602
177, 2007-6-21, bank of america, T, 3814, 5285
178, 2012-11-9, reliant, T, 525, 7517
179, 2012-10-8, invesco, W, 3790, 2056
180, 2011-7-16, qualcomm, W, 2856, 974
181, 2007-8-24, qualcomm, L, 322, 3602
182, 2013-5-25, soldier field ii, T, 4167, 3859
183, 2013-2-26, lucas oil, T, 2267, 5260
184, 2010-1-28, ford, W, 2762, 9690
185, 2011-7-30, gillette, T, 4641, 7974
186, 2017-5-29, university of phoenix, T, 2679, 4526
187, 2010-8-4, heinz, L, 2355, 2653
188, 2011-2-9, giants, L, 3578, 9482
189, 2008-5-18, ralph wilson, T, 3111, 8248
190, 2004-10-3, reliant, W, 500, 514
191, 2003-9-1, qualcomm, W, 2539, 6948
192, 2007-2-25, ford, T, 2515, 4251
193, 2016-11-5, lucas oil, L, 1716, 694
194, 2005-2-23, reliant, L, 2346, 8956
195, 2009-1-24, everbank, W, 2070, 6445
196, 2018-3-6, edward jones, T, 1663, 361
197, 2009-5-7, georgia dome, L, 1733, 2059
198, 2007-11-15, arrowhead, L, 3124, 750
199, 2011-9-25, qwest, W, 2271, 3655
200, 2001-1-25, gillette, W, 3544, 9539
201, 2015-12-5, paul brown, L, 1619, 4775
202, 2001-10-23, hubert metrodome, T, 4570, 7969
203, 2010-7-26, edward jones, T, 2960, 7306
204, 2018-9-1, fedexfield, T, 555, 9262
205, 2018-10-11, qwest, W, 596, 2008
206, 2003-1-23, ford, L, 2971, 6325
207, 2001-4-22, university of phoenix, L, 853, 4996
208, 2002-8-5, soldier field ii, L, 3151, 7805
209, 2012-8-16, invesco, L, 4837, 6262
210, 2000-9-29, lincoln, T, 2294, 2699
211, 2009-12-1, ford, T, 1313, 2847
212, 2003-5-9, invesco, T, 4261, 1610
213, 2010-9-4, georgia dome, T, 3834, 5844
214, 2008-3-26, university of phoenix, T, 1454, 9711
215, 2010-1-16, lp, T, 4824, 715
216, 2002-3-18, qualcomm, T, 2148, 2038
217, 2003-9-30, ralph wilson, W, 2776, 6517
218, 2016-8-10, arrowhead, W, 384, 3879
219, 2018-4-9, soldier field ii, L, 3797, 1973
220, 2000-9-22, university of phoenix, W, 1214, 5276
221, 2007-8-7, dallas cowboys, L, 3322, 9772
222, 2015-12-10, qwest, T, 2201, 5901
223, 2016-7-8, qualcomm, L, 3331, 852
224, 2007-8-13, qualcomm, W, 1991, 2934
225, 2011-4-11, gillette, W, 2234, 2261
226, 2011-5-4, m&t bank, L, 4361, 7589
227, 2001-8-19, m&t bank, L, 1250, 745
228, 2002-2-12, lucas oil, W, 2787, 158
229, 2014-7-17, heinz, L, 714, 2472
230, 2011-3-19, fedexfield, T, 4171, 1818
231, 2005-11-30, hubert metrodome, W, 2980, 9305
232, 2002-8-29, soldier field ii, L, 3280, 8122
233, 2010-7-20, lincoln, W, 3639, 4396
234, 2009-4-4, candlestick, T, 4122, 3530
235, 2014-11-30, dallas cowboys, W, 4955, 847
236, 2008-11-25, louisiana superdome, W, 3259, 6842
237, 2001-8-13, edward jones, L, 4573, 3847
238, 2006-9-11, university of phoenix, L, 240, 5069
239, 2003-7-1, dallas cowboys, W, 4210, 9608
240, 2018-8-18, qwest, T, 1376, 8546
241, 2000-9-4, university of phoenix, W, 3979, 1027
242, 2007-10-8, louisiana superdome, W, 4340, 3956
243, 2007-4-17, ford, W, 1296, 6259
244, 2000-8-20, invesco, L, 3431, 1299
245, 2013-11-9, ralph wilson, L, 2982, 7033
246, 2017-9-30, dallas cowboys, L, 3147, 7554
247, 2011-7-18, dolphin, W, 3407, 3148
248, 2003-5-26, louisiana superdome, L, 1168, 7481
249, 2011-9-30, qualcomm, T, 4734, 8746
250, 2005-9-14, fedexfield, T, 3676, 6166
251, 2003-4-6, lincoln, W, 4016, 9777
252, 2009-12-18, invesco, W, 2991, 1893
253, 2011-3-12, everbank, W, 148, 7985
254, 2001-7-2, gillette, T, 3417, 8087
255, 2004-9-16, cleveland browns, T, 1842, 9994
256, 2012-5-29, m&t bank, T, 783, 8883
257, 2001-10-4, georgia dome, L, 4699, 7881
258, 2005-5-17, everbank, W, 4964, 8578
259, 2009-9-30, lambeau, L, 1772, 3479
260, 2012-8-10, paul brown, T, 4092, 3493
261, 2000-9-9, georgia dome, T, 3244, 7217
262, 2011-12-17, lambeau, W, 3110, 420
263, 2000-4-26, qualcomm, W, 3276, 1912
264, 2005-7-27, heinz, L, 1209, 216
265, 2006-6-14, cleveland browns, T, 4352, 8711
266, 2000-3-29, university of phoenix, L, 4687, 3354
267, 2013-1-16, bank of america, W, 3397, 6545
268, 2014-6-4, giants, T, 3276, 5974
269, 2012-2-20, paul brown, W, 1147, 9536
270, 2004-12-11, reliant, T, 1961, 6534
271, 2011-3-14, cleveland browns, W, 3816, 5205
272, 2005-1-14, bank of america, W, 2887, 1297
273, 2002-7-3, gillette, T, 2272, 3157
274, 2005-1-21, bank of america, L, 3664, 6869
275, 2003-1-19, m&t bank, W, 2823, 2162
276, 2001-7-19, cleveland browns, W, 1690, 9479
277, 2005-7-13, candlestick, W, 4448, 108
278, 2000-6-18, lincoln, W, 1364, 8089
279, 2015-10-22, louisiana superdome, L, 2337, 8344
280, 2008-10-28, georgia dome, W, 1779, 4265
281, 2000-2-20, raymond james, L, 404, 218
282, 2005-4-22, ford, T, 1067, 3350
283, 2002-6-9, paul brown, T, 177, 434
284, 2010-1-18, qualcomm, L, 2526, 5847
285, 2006-7-4, louisiana superdome, W, 4928, 2011
286, 2014-4-18, everbank, L, 4250, 6299
287, 2018-10-14, dallas cowboys, W, 4792, 242
288, 2001-3-24, edward jones, W, 4066, 156
289, 2008-1-9, gillette, T, 3795, 6817
290, 2005-1-6, louisiana superdome, W, 749, 5695
291, 2003-11-28, gillette, T, 4513, 7370
292, 2007-11-24, arrowhead, L, 3102, 960
293, 2017-6-10, lambeau, W, 4760, 6121
294, 2016-11-22, paul brown, W, 4863, 5477
295, 2009-12-9, m&t bank, L, 1651, 6485
296, 2000-5-21, paul brown, L, 2542, 1121
297, 2013-10-9, fedexfield, T, 475, 1572
298, 2013-7-24, ford, L, 3791, 1725
299, 2013-6-3, raymond james, T, 4419, 6953
300, 2002-4-27, arrowhead, T, 2408, 8714
301, 2002-12-22, cleveland browns, T, 1721, 1562
302, 2005-11-4, giants, L, 1443, 6695
303, 2001-5-3, lp, T, 3911, 7279
304, 2004-10-11, lp, L, 4582, 1593
305, 2012-9-19, arrowhead, W, 4645, 1919
306, 2007-11-15, hubert metrodome, T, 554, 9319
307, 2016-11-9, hubert metrodome, L, 2604, 7951
308, 2017-4-24, paul brown, T, 4360, 7831
309, 2005-5-17, heinz, W, 1110, 7210
310, 2013-2-3, giants, T, 2534, 3815
311, 2018-3-15, hubert metrodome, L, 4066, 1946
312, 2010-6-26, invesco, L, 2064, 9824
313, 2014-11-20, bank of america, W, 1650, 3646
314, 2002-7-24, giants, T, 4436, 9231
315, 2005-10-28, oakland-alameda, W, 4368, 6555
316, 2010-11-14, lambeau, T, 530, 6139
317, 2016-2-1, everbank, T, 1727, 4117
318, 2001-4-2, invesco, T, 4810, 2785
319, 2003-8-8, lp, T, 3044, 4698
320, 2012-3-6, everbank, L, 591, 8237
321, 2011-4-29, cleveland browns, W, 3591, 2753
322, 2003-1-8, paul brown, L, 3589, 969
323, 2004-2-30, lincoln, W, 1698, 3984
324, 2012-6-9, raymond james, T, 3132, 6379
325, 2015-6-17, lincoln, W, 670, 2072
326, 2018-11-13, ralph wilson, W, 4944, 6624
327, 2002-8-3, fedexfield, T, 1072, 2775
328, 2008-1-12, lincoln, T, 2633, 625
329, 2017-4-13, heinz, W, 4644, 4995
330, 2011-12-1, reliant, W, 3481, 6901
331, 2004-7-25, qualcomm, T, 1496, 972
332, 2011-10-6, university of phoenix, T, 2037, 6066
333, 2004-4-26, everbank, W, 1840, 8876
334, 2013-11-5, giants, T, 164, 1220
335, 2008-1-25, lucas oil, L, 322, 994
336, 2017-5-1, paul brown, T, 4891, 641
337, 2002-6-13, edward jones, L, 1307, 9087
338, 2005-4-10, dallas cowboys, L, 4351, 7320
339, 2016-2-27, georgia dome, W, 2928, 2039
340, 2010-12-14, ford, T, 3531, 4153
341, 2004-1-9, lambeau, W, 235, 4338
342, 2009-11-9, lincoln, L, 3864, 9930
343, 2000-5-7, qwest, W, 2755, 772
344, 2004-11-15, lucas oil, T, 2227, 4802
345, 2003-10-20, ralph wilson, T, 3234, 4859
346, 2007-2-17, soldier field ii, T, 4556, 2706
347, 2011-3-30, cleveland browns, L, 2461, 5215
348, 2014-8-9, fedexfield, L, 1855, 652
349, 2001-5-20, georgia dome, L, 348, 5397
350, 2010-5-1, reliant, L, 3217, 2032
351, 2009-1-26, qualcomm, L, 4298, 4375
352, 2002-11-13, invesco, L, 4070, 6895
353, 2018-12-8, louisiana superdome, L, 2736, 6735
354, 2005-4-9, reliant, L, 4114, 9912
355, 2016-2-24, candlestick, W, 4214, 905
356, 2015-7-26, hubert metrodome, L, 510, 7403
357, 2005-7-11, lincoln, L, 2620, 6959
358, 2001-3-26, lincoln, W, 230, 9907
359, 2014-12-30, qualcomm, T, 3916, 9667
360, 2005-1-22, louisiana superdome, W, 227, 6083
361, 2009-2-6, invesco, W, 2231, 7499
362, 2001-11-4, georgia dome, T, 4102, 4549
363, 2017-11-23, fedexfield, T, 2642, 6966
364, 2001-5-30, everbank, L, 771, 3169
365, 2012-11-20, everbank, T, 3013, 4856
366, 2017-10-16, fedexfield, W, 4841, 7326
367, 2017-6-13, lambeau, W, 146, 7450
368, 2014-10-2, ford, T, 1412, 8974
369, 2001-10-7, louisiana superdome, W, 3485, 4304
370, 2017-8-16, soldier field ii, L, 1900, 2982
371, 2011-1-24, reliant, T, 3791, 9751
372, 2014-5-25, lp, L, 1762, 4677
373, 2000-11-24, dolphin, L, 262, 6415
374, 2014-12-3, gillette, T, 2423, 6403
375, 2000-8-20, giants, L, 261, 2044
376, 2013-9-9, ralph wilson, W, 1496, 1757
377, 2005-10-15, georgia dome, L, 1905, 9746
378, 2018-12-19, louisiana superdome, T, 4640, 8111
379, 2000-8-8, raymond james, T, 4164, 2369
380, 2005-7-10, bank of america, T, 4422, 9528
381, 2004-10-27, lucas oil, W, 4797, 6040
382, 2015-12-2, candlestick, L, 1175, 5153
383, 2008-3-3, ralph wilson, W, 2808, 3735
384, 2003-12-16, louisiana superdome, T, 2759, 7594
385, 2004-10-12, cleveland browns, W, 4332, 5897
386, 2002-6-26, arrowhead, T, 4414, 8781
387, 2006-2-6, university of phoenix, T, 1430, 5794
388, 2017-9-5, m&t bank, W, 888, 506
389, 2014-2-17, oakland-alameda, T, 4297, 3356
390, 2012-7-28, lincoln, W, 2533, 9864
391, 2001-8-28, candlestick, T, 2816, 6776
392, 2017-9-10, lp, L, 3437, 7270
393, 2001-12-10, ralph wilson, W, 3556, 1419
394, 2016-7-3, dolphin, L, 3594, 1746
395, 2012-11-10, qualcomm, W, 765, 2772
396, 2009-1-6, lincoln, L, 1650, 1135
397, 2007-3-28, fedexfield, L, 807, 2104
398, 2013-10-9, paul brown, W, 2497, 3188
399, 2014-6-24, gillette, T, 1268, 8433
400, 2001-4-28, giants, L, 685, 6501
401, 2010-12-18, lucas oil, W, 1890, 8389
402, 2015-1-9, qualcomm, L, 4100, 2709
403, 2000-5-13, heinz, T, 498, 7039
404, 2007-1-17, lincoln, W, 3231, 3032
405, 2007-6-19, fedexfield, T, 2045, 3507
406, 2011-9-19, dolphin, L, 1542, 9343
407, 2005-10-10, everbank, L, 4354, 9528
408, 2002-8-12, lambeau, L, 1825, 2444
409, 2003-1-10, lp, L, 368, 7835
410, 2016-9-10, gillette, L, 4453, 9125
411, 2014-7-10, lambeau, W, 3899, 633
412, 2007-10-13, oakland-alameda, T, 1989, 4007
413, 2016-5-23, arrowhead, T, 1905, 5064
414, 2003-8-6, ford, W, 1255, 3543
415, 2012-9-8, cleveland browns, W, 834, 4913
416, 2003-3-18, fedexfield, L, 2169, 5230
417, 2010-8-6, qwest, T, 337, 1685
418, 2018-5-23, m&t bank, W, 4214, 4299
419, 2006-12-2, lucas oil, L, 169, 8148
420, 2000-9-27, fedexfield, L, 1807, 8974
421, 2016-11-5, giants, W, 2347, 2951
422, 2011-10-28, georgia dome, L, 3464, 552
423, 2002-12-11, paul brown, L, 608, 907
424, 2013-2-20, bank of america, L, 935, 959
425, 2000-2-6, lincoln, T, 2189, 9051
426, 2008-12-22, fedexfield, T, 3165, 9086
427, 2015-11-6, m&t bank, L, 1843, 4386
428, 2005-2-14, louisiana superdome, L, 4775, 6142
429, 2014-3-5, oakland-alameda, W, 1873, 2301
430, 2001-4-9, qwest, L, 4443, 1013
431, 2013-4-26, invesco, L, 1824, 3862
432, 2004-3-8, louisiana superdome, W, 3718, 7844
433, 2008-11-25, edward jones, W, 3438, 7859
434, 2007-4-12, dallas cowboys, W, 2877, 4980
435, 2000-9-18, soldier field ii, L, 3049, 988
436, 2013-1-8, reliant, W, 515, 5352
437, 2017-3-22, everbank, L, 3670, 9948
438, 2009-12-20, georgia dome, L, 2506, 8891
439, 2009-1-27, soldier field ii, W, 3048, 2346
440, 2009-11-14, raymond james, T, 4680, 4884
441, 2010-3-10, lucas oil, W, 3096, 898
442, 2006-9-27, ralph wilson, T, 4315, 3713
443, 2011-4-20, lambeau, W, 2301, 436
444, 2000-7-13, raymond james, W, 1341, 1970
445, 2011-4-29, lincoln, W, 1844, 5873
446, 2015-12-30, bank of america, T, 2693, 6786
447, 2018-6-20, lambeau, L, 1894, 1836
448, 2005-3-20, university of phoenix, L, 1007, 4113
449, 2007-2-2, m&t bank, T, 3130, 7618
450, 2016-12-30, louisiana superdome, W, 3947, 7085
451, 2014-12-15, lp, L, 678, 1703
452, 2003-10-18, hubert metrodome, W, 4750, 6019
453, 2010-2-3, soldier field ii, T, 4858, 6609
454, 2003-4-19, m&t bank, W, 1483, 360
455, 2013-5-29, georgia dome, L, 2318, 2321
456, 2003-8-25, ralph wilson, T, 447, 5423
457, 2016-4-11, gillette, T, 2657, 7321
458, 2018-12-18, candlestick, T, 2008, 9650
459, 2018-9-22, reliant, W, 4975, 8391
460, 2004-7-23, louisiana superdome, L, 1043, 3886
461, 2017-2-29, soldier field ii, L, 2558, 1867
462, 2004-7-11, georgia dome, L, 636, 1534
463, 2006-6-19, m&t bank, W, 1042, 840
464, 2012-7-10, qualcomm, T, 4576, 7071
465, 2002-2-1, bank of america, T, 1795, 1410
466, 2010-8-1, everbank, L, 1826, 9036
467, 2008-10-17, cleveland browns, T, 4169, 198
468, 2005-6-1, hubert metrodome, W, 1952, 9336
469, 2007-12-24, lincoln, L, 1534, 9474
470, 2006-10-2, ford, W, 3969, 6143
471, 2009-2-13, candlestick, T, 541, 5930
472, 2007-3-26, bank of america, L, 3163, 2032
473, 2002-9-13, m&t bank, T, 1978, 3457
474, 2015-5-6, fedexfield, L, 2658, 5042
475, 2009-10-29, hubert metrodome, L, 2951, 928
476, 2017-1-10, edward jones, L, 3614, 7964
477, 2017-11-23, giants, T, 493, 439
478, 2000-7-10, paul brown, W, 4325, 5612
479, 2017-5-6, paul brown, L, 4141, 8262
480, 2006-2-15, dallas cowboys, W, 3938, 4841
481, 2004-3-9, raymond james, L, 660, 9638
482, 2005-6-20, georgia dome, W, 4958, 8776
483, 2014-12-13, dallas cowboys, L, 3574, 8101
484, 2016-3-22, bank of america, L, 2604, 6112
485, 2010-2-28, raymond james, L, 281, 6347
486, 2009-7-21, edward jones, W, 2628, 3433
487, 2015-11-24, louisiana superdome, T, 4990, 2815
488, 2013-4-21, reliant, T, 2120, 6232
489, 2002-1-30, dallas cowboys, W, 3988, 5189
490, 2012-12-9, lambeau, W, 3124, 2137
491, 2003-5-4, gillette, L, 4505, 560
492, 2002-5-30, soldier field ii, L, 3045, 6445
493, 2015-12-29, lp, W, 662, 658
494, 2016-3-13, hubert metrodome, L, 1479, 222
495, 2008-3-29, gillette, L, 1275, 7567
496, 2016-8-23, ford, T, 2268, 2524
497, 2016-5-22, gillette, T, 2289, 4315
498, 2012-5-8, arrowhead, W, 3139, 9774
499, 2000-9-30, lp, T, 4562, 4629
500, 2003-5-24, gillette, L, 4654, 9512
501, 2013-9-21, raymond james, T, 852, 195
502, 2008-10-16, reliant, W, 1215, 2769
503, 2004-10-18, hubert metrodome, T, 1890, 6732
504, 2012-7-7, georgia dome, L, 2157, 2125
505, 2018-5-28, oakland-alameda, L, 4507, 5435
506, 2003-2-18, reliant, T, 4165, 7698
507, 2000-11-23, raymond james, L, 855, 8997
508, 2005-6-18, bank of america, L, 4629, 5893
509, 2004-1-27, lp, L, 3092, 7001
510, 2005-3-18, university of phoenix, W, 3433, 179
511, 2004-2-14, dallas cowboys, W, 4435, 6433
512, 2004-11-26, arrowhead, W, 256, 2296
513, 2013-5-1, gillette, W, 4488, 5658
514, 2010-10-21, reliant, W, 3165, 8287
515, 2000-8-4, ford, T, 2772, 2582
516, 2010-5-30, soldier field ii, W, 1507, 7594
517, 2016-2-12, hubert metrodome, T, 2105, 2021
518, 2006-10-22, hubert metrodome, L, 2633, 2975
519, 2018-3-12, raymond james, W, 2653, 2129
520, 2002-1-21, heinz, L, 2496, 4997
521, 2006-11-25, heinz, L, 2274, 2411
522, 2010-3-17, oakland-alameda, T, 1157, 7673
523, 2007-8-12, gillette, T, 3274, 3773
524, 2017-6-23, giants, W, 3414, 3267
525, 2011-1-27, arrowhead, W, 3577, 2200
526, 2001-2-26, edward jones, W, 3897, 1065
527, 2001-6-19, lucas oil, T, 437, 6180
528, 2013-9-14, candlestick, T, 1277, 6008
529, 2015-1-16, lambeau, T, 2033, 1270
530, 2001-8-25, bank of america, T, 3471, 9474
531, 2006-7-16, gillette, T, 532, 2849
532, 2003-1-24, dallas cowboys, T, 4028, 2574
533, 2017-4-30, lincoln, L, 1935, 7986
534, 2008-5-11, fedexfield, T, 4742, 4440
535, 2009-7-29, gillette, L, 4006, 141
536, 2014-7-1, qwest, W, 116, 6856
537, 2014-1-23, gillette, L, 3279, 8909
538, 2005-1-17, giants, L, 4180, 860
539, 2017-5-5, oakland-alameda, T, 1496, 342
540, 2011-6-27, soldier field ii, L, 1853, 6482
541, 2006-9-26, arrowhead, W, 3211, 9442
542, 2013-8-24, giants, L, 952, 2211
543, 2018-3-6, ford, T, 1065, 3312
544, 2003-3-27, louisiana superdome, W, 2754, 5344
545, 2000-1-21, cleveland browns, T, 1924, 6109
546, 2001-7-29, m&t bank, T, 4811, 437
547, 2011-2-6, lp, T, 4751, 8910
548, 2005-9-17, hubert metrodome, T, 461, 3967
549, 2003-8-12, oakland-alameda, L, 4012, 2899
550, 2016-5-28, arrowhead, T, 2243, 6481
551, 2010-12-16, ralph wilson, L, 3881, 947
552, 2009-12-22, gillette, T, 2147, 9263
553, 2008-4-30, oakland-alameda, T, 2971, 9307
554, 2003-11-3, qualcomm, T, 1489, 3399
555, 2007-3-23, oakland-alameda, T, 4345, 831
556, 2007-1-5, fedexfield, T, 301, 1009
